"","BUYER_COUNTY","BUYER_STATE","year","count","DOSAGE_UNIT","countyfips"
"1","ABBEVILLE","SC",2006,877,363620,"45001"
"2","ABBEVILLE","SC",2007,908,402940,"45001"
"3","ABBEVILLE","SC",2008,871,424590,"45001"
"4","ABBEVILLE","SC",2009,930,467230,"45001"
"5","ABBEVILLE","SC",2010,1197,539280,"45001"
"6","ABBEVILLE","SC",2011,1327,566560,"45001"
"7","ABBEVILLE","SC",2012,1509,589010,"45001"
"8","ABBEVILLE","SC",2013,1572,596420,"45001"
"9","ABBEVILLE","SC",2014,1558,641350,"45001"
"10","ACADIA","LA",2006,5802,1969720,"22001"
"11","ACADIA","LA",2007,5660,2207310,"22001"
"12","ACADIA","LA",2008,5700,2246400,"22001"
"13","ACADIA","LA",2009,6069,2537040,"22001"
"14","ACADIA","LA",2010,6266,2679687,"22001"
"15","ACADIA","LA",2011,6499,2806270,"22001"
"16","ACADIA","LA",2012,7151,2640841,"22001"
"17","ACADIA","LA",2013,7084,2569300,"22001"
"18","ACADIA","LA",2014,5721,2541140,"22001"
"19","ACCOMACK","VA",2006,1410,487300,"51001"
"20","ACCOMACK","VA",2007,1826,614000,"51001"
"21","ACCOMACK","VA",2008,1881,691600,"51001"
"22","ACCOMACK","VA",2009,1825,702600,"51001"
"23","ACCOMACK","VA",2010,2336,800550,"51001"
"24","ACCOMACK","VA",2011,2588,918550,"51001"
"25","ACCOMACK","VA",2012,2510,839370,"51001"
"26","ACCOMACK","VA",2013,2647,809570,"51001"
"27","ACCOMACK","VA",2014,2513,796930,"51001"
"28","ADA","ID",2006,26077,11094634,"16001"
"29","ADA","ID",2007,24750,10826747,"16001"
"30","ADA","ID",2008,26294,11817954,"16001"
"31","ADA","ID",2009,28955,13060799,"16001"
"32","ADA","ID",2010,34885,16145256,"16001"
"33","ADA","ID",2011,36742,18138918,"16001"
"34","ADA","ID",2012,38269,18990097,"16001"
"35","ADA","ID",2013,36855,18305203,"16001"
"36","ADA","ID",2014,37657,18427220,"16001"
"37","ADAIR","IA",2006,349,135525,"19001"
"38","ADAIR","IA",2007,412,159700,"19001"
"39","ADAIR","IA",2008,567,183800,"19001"
"40","ADAIR","IA",2009,716,217900,"19001"
"41","ADAIR","IA",2010,762,222100,"19001"
"42","ADAIR","IA",2011,842,233600,"19001"
"43","ADAIR","IA",2012,811,232420,"19001"
"44","ADAIR","IA",2013,653,203000,"19001"
"45","ADAIR","IA",2014,640,195120,"19001"
"46","ADAIR","KY",2006,1611,694990,"21001"
"47","ADAIR","KY",2007,1804,691730,"21001"
"48","ADAIR","KY",2008,2132,822920,"21001"
"49","ADAIR","KY",2009,2326,897770,"21001"
"50","ADAIR","KY",2010,2809,1033160,"21001"
"51","ADAIR","KY",2011,3137,1212510,"21001"
"52","ADAIR","KY",2012,3033,1189460,"21001"
"53","ADAIR","KY",2013,2955,1153070,"21001"
"54","ADAIR","KY",2014,2178,1087490,"21001"
"55","ADAIR","MO",2006,2564,879240,"29001"
"56","ADAIR","MO",2007,3151,972670,"29001"
"57","ADAIR","MO",2008,3353,1061390,"29001"
"58","ADAIR","MO",2009,3569,1213050,"29001"
"59","ADAIR","MO",2010,4069,1332110,"29001"
"60","ADAIR","MO",2011,4283,1564110,"29001"
"61","ADAIR","MO",2012,4215,1638990,"29001"
"62","ADAIR","MO",2013,4019,1583860,"29001"
"63","ADAIR","MO",2014,2983,1577330,"29001"
"64","ADAIR","OK",2006,1771,504500,"40001"
"65","ADAIR","OK",2007,2167,629600,"40001"
"66","ADAIR","OK",2008,2582,772100,"40001"
"67","ADAIR","OK",2009,2843,886270,"40001"
"68","ADAIR","OK",2010,2925,1027450,"40001"
"69","ADAIR","OK",2011,3320,1229120,"40001"
"70","ADAIR","OK",2012,3150,1238760,"40001"
"71","ADAIR","OK",2013,2591,1211430,"40001"
"72","ADAIR","OK",2014,1937,1100830,"40001"
"73","ADAMS","CO",2006,21926,7797330,"08001"
"74","ADAMS","CO",2007,25592,8682060,"08001"
"75","ADAMS","CO",2008,28572,9949801,"08001"
"76","ADAMS","CO",2009,30587,11083312,"08001"
"77","ADAMS","CO",2010,33100,12211730,"08001"
"78","ADAMS","CO",2011,34205,13476740,"08001"
"79","ADAMS","CO",2012,34503,13647534,"08001"
"80","ADAMS","CO",2013,34691,12151730,"08001"
"81","ADAMS","CO",2014,33395,12865600,"08001"
"82","ADAMS","IA",2006,143,71400,"19003"
"83","ADAMS","IA",2007,167,87500,"19003"
"84","ADAMS","IA",2008,207,93900,"19003"
"85","ADAMS","IA",2009,210,91400,"19003"
"86","ADAMS","IA",2010,133,62400,"19003"
"87","ADAMS","IA",2011,162,60300,"19003"
"88","ADAMS","IA",2012,172,68600,"19003"
"89","ADAMS","IA",2013,193,70400,"19003"
"90","ADAMS","IA",2014,234,70000,"19003"
"91","ADAMS","ID",2006,21,2800,"16003"
"92","ADAMS","ID",2007,13,1900,"16003"
"93","ADAMS","ID",2008,6,1200,"16003"
"94","ADAMS","ID",2009,6,1200,"16003"
"95","ADAMS","ID",2010,7,1400,"16003"
"96","ADAMS","ID",2011,6,1100,"16003"
"97","ADAMS","ID",2012,6,1400,"16003"
"98","ADAMS","IL",2006,4653,1851630,"17001"
"99","ADAMS","IL",2007,5154,2238040,"17001"
"100","ADAMS","IL",2008,5857,2531290,"17001"
"101","ADAMS","IL",2009,6670,2882080,"17001"
"102","ADAMS","IL",2010,7668,3266880,"17001"
"103","ADAMS","IL",2011,8422,3507410,"17001"
"104","ADAMS","IL",2012,7852,3493230,"17001"
"105","ADAMS","IL",2013,7870,3635390,"17001"
"106","ADAMS","IL",2014,6610,3804950,"17001"
"107","ADAMS","IN",2006,1475,434320,"18001"
"108","ADAMS","IN",2007,1806,543000,"18001"
"109","ADAMS","IN",2008,1799,601900,"18001"
"110","ADAMS","IN",2009,1981,688900,"18001"
"111","ADAMS","IN",2010,2213,766770,"18001"
"112","ADAMS","IN",2011,2575,930900,"18001"
"113","ADAMS","IN",2012,2807,999150,"18001"
"114","ADAMS","IN",2013,2760,915000,"18001"
"115","ADAMS","IN",2014,2083,897300,"18001"
"116","ADAMS","MS",2006,5325,1930200,"28001"
"117","ADAMS","MS",2007,5188,2131220,"28001"
"118","ADAMS","MS",2008,5042,2340600,"28001"
"119","ADAMS","MS",2009,4986,2395730,"28001"
"120","ADAMS","MS",2010,5409,2466920,"28001"
"121","ADAMS","MS",2011,5882,2755400,"28001"
"122","ADAMS","MS",2012,5680,2688760,"28001"
"123","ADAMS","MS",2013,5466,2459820,"28001"
"124","ADAMS","MS",2014,3526,2223570,"28001"
"125","ADAMS","ND",2006,339,81900,"38001"
"126","ADAMS","ND",2007,381,102320,"38001"
"127","ADAMS","ND",2008,306,99100,"38001"
"128","ADAMS","ND",2009,334,114200,"38001"
"129","ADAMS","ND",2010,368,115650,"38001"
"130","ADAMS","ND",2011,398,122510,"38001"
"131","ADAMS","ND",2012,358,122590,"38001"
"132","ADAMS","ND",2013,435,132380,"38001"
"133","ADAMS","ND",2014,423,125730,"38001"
"134","ADAMS","NE",2006,2028,563140,"31001"
"135","ADAMS","NE",2007,2326,664320,"31001"
"136","ADAMS","NE",2008,2466,740400,"31001"
"137","ADAMS","NE",2009,2458,809260,"31001"
"138","ADAMS","NE",2010,2689,834173,"31001"
"139","ADAMS","NE",2011,3234,954060,"31001"
"140","ADAMS","NE",2012,3018,971680,"31001"
"141","ADAMS","NE",2013,3078,933100,"31001"
"142","ADAMS","NE",2014,2518,928830,"31001"
"143","ADAMS","OH",2006,3515,1553880,"39001"
"144","ADAMS","OH",2007,3846,1652200,"39001"
"145","ADAMS","OH",2008,4161,1825870,"39001"
"146","ADAMS","OH",2009,4036,1870210,"39001"
"147","ADAMS","OH",2010,4101,1820320,"39001"
"148","ADAMS","OH",2011,3977,1792820,"39001"
"149","ADAMS","OH",2012,3594,1656790,"39001"
"150","ADAMS","OH",2013,3471,1542840,"39001"
"151","ADAMS","OH",2014,3312,1569630,"39001"
"152","ADAMS","PA",2006,5424,1882950,"42001"
"153","ADAMS","PA",2007,5511,2009450,"42001"
"154","ADAMS","PA",2008,5678,2123800,"42001"
"155","ADAMS","PA",2009,6448,2400900,"42001"
"156","ADAMS","PA",2010,7134,2599340,"42001"
"157","ADAMS","PA",2011,7899,2922910,"42001"
"158","ADAMS","PA",2012,8334,3022160,"42001"
"159","ADAMS","PA",2013,8196,2740210,"42001"
"160","ADAMS","PA",2014,6910,2722900,"42001"
"161","ADAMS","WA",2006,1104,370200,"53001"
"162","ADAMS","WA",2007,1176,443500,"53001"
"163","ADAMS","WA",2008,1455,451600,"53001"
"164","ADAMS","WA",2009,1575,521320,"53001"
"165","ADAMS","WA",2010,1822,542500,"53001"
"166","ADAMS","WA",2011,1899,601300,"53001"
"167","ADAMS","WA",2012,2051,609630,"53001"
"168","ADAMS","WA",2013,1750,568500,"53001"
"169","ADAMS","WA",2014,1482,541100,"53001"
"170","ADAMS","WI",2006,1250,349900,"55001"
"171","ADAMS","WI",2007,1493,445200,"55001"
"172","ADAMS","WI",2008,1584,481500,"55001"
"173","ADAMS","WI",2009,1774,515600,"55001"
"174","ADAMS","WI",2010,1941,613200,"55001"
"175","ADAMS","WI",2011,1867,615950,"55001"
"176","ADAMS","WI",2012,1746,626470,"55001"
"177","ADAMS","WI",2013,1686,599800,"55001"
"178","ADAMS","WI",2014,1619,530000,"55001"
"179","ADDISON","VT",2006,2603,745200,"50001"
"180","ADDISON","VT",2007,2644,812600,"50001"
"181","ADDISON","VT",2008,2700,806850,"50001"
"182","ADDISON","VT",2009,2988,837770,"50001"
"183","ADDISON","VT",2010,2792,827380,"50001"
"184","ADDISON","VT",2011,2513,791340,"50001"
"185","ADDISON","VT",2012,2485,719500,"50001"
"186","ADDISON","VT",2013,2603,724930,"50001"
"187","ADDISON","VT",2014,2531,662650,"50001"
"188","ADJUNTAS","PR",2006,147,102800,NA
"189","ADJUNTAS","PR",2007,153,104800,NA
"190","ADJUNTAS","PR",2008,153,45400,NA
"191","ADJUNTAS","PR",2009,184,54200,NA
"192","ADJUNTAS","PR",2010,190,56200,NA
"193","ADJUNTAS","PR",2011,186,65530,NA
"194","ADJUNTAS","PR",2012,138,57330,NA
"195","ADJUNTAS","PR",2013,138,65820,NA
"196","ADJUNTAS","PR",2014,90,59490,NA
"197","AGUADA","PR",2006,160,49200,NA
"198","AGUADA","PR",2007,109,49500,NA
"199","AGUADA","PR",2008,64,38300,NA
"200","AGUADA","PR",2009,83,42500,NA
"201","AGUADA","PR",2010,103,50200,NA
"202","AGUADA","PR",2011,106,53730,NA
"203","AGUADA","PR",2012,98,46690,NA
"204","AGUADA","PR",2013,126,54660,NA
"205","AGUADA","PR",2014,60,38240,NA
"206","AGUADILLA","PR",2006,515,192200,NA
"207","AGUADILLA","PR",2007,496,184800,NA
"208","AGUADILLA","PR",2008,399,163000,NA
"209","AGUADILLA","PR",2009,418,195130,NA
"210","AGUADILLA","PR",2010,511,254490,NA
"211","AGUADILLA","PR",2011,464,257380,NA
"212","AGUADILLA","PR",2012,450,239100,NA
"213","AGUADILLA","PR",2013,460,232190,NA
"214","AGUADILLA","PR",2014,353,206260,NA
"215","AGUAS BUENAS","PR",2006,67,28500,NA
"216","AGUAS BUENAS","PR",2007,58,29400,NA
"217","AGUAS BUENAS","PR",2008,63,28700,NA
"218","AGUAS BUENAS","PR",2009,32,19200,NA
"219","AGUAS BUENAS","PR",2010,48,25600,NA
"220","AGUAS BUENAS","PR",2011,58,25360,NA
"221","AGUAS BUENAS","PR",2012,75,27800,NA
"222","AGUAS BUENAS","PR",2013,86,30660,NA
"223","AGUAS BUENAS","PR",2014,40,26300,NA
"224","AIBONITO","PR",2006,197,154700,NA
"225","AIBONITO","PR",2007,184,168000,NA
"226","AIBONITO","PR",2008,152,145000,NA
"227","AIBONITO","PR",2009,138,122600,NA
"228","AIBONITO","PR",2010,142,146730,NA
"229","AIBONITO","PR",2011,128,162300,NA
"230","AIBONITO","PR",2012,119,203500,NA
"231","AIBONITO","PR",2013,137,200900,NA
"232","AIBONITO","PR",2014,117,224600,NA
"233","AIKEN","SC",2006,10862,3236270,"45003"
"234","AIKEN","SC",2007,12918,4039800,"45003"
"235","AIKEN","SC",2008,15537,4765559,"45003"
"236","AIKEN","SC",2009,16947,5524405,"45003"
"237","AIKEN","SC",2010,19176,6292900,"45003"
"238","AIKEN","SC",2011,20160,6950170,"45003"
"239","AIKEN","SC",2012,20090,7231700,"45003"
"240","AIKEN","SC",2013,19717,7106890,"45003"
"241","AIKEN","SC",2014,15894,6760080,"45003"
"242","AITKIN","MN",2006,1227,357900,"27001"
"243","AITKIN","MN",2007,1456,394400,"27001"
"244","AITKIN","MN",2008,1481,457700,"27001"
"245","AITKIN","MN",2009,1787,530300,"27001"
"246","AITKIN","MN",2010,2158,580320,"27001"
"247","AITKIN","MN",2011,2261,645080,"27001"
"248","AITKIN","MN",2012,2350,677990,"27001"
"249","AITKIN","MN",2013,2252,682080,"27001"
"250","AITKIN","MN",2014,2031,714250,"27001"
"251","ALACHUA","FL",2006,20923,7029756,"12001"
"252","ALACHUA","FL",2007,21998,7849764,"12001"
"253","ALACHUA","FL",2008,23579,8786119,"12001"
"254","ALACHUA","FL",2009,24119,9820973,"12001"
"255","ALACHUA","FL",2010,23624,9760670,"12001"
"256","ALACHUA","FL",2011,23446,9622669,"12001"
"257","ALACHUA","FL",2012,22085,8623770,"12001"
"258","ALACHUA","FL",2013,22662,7880550,"12001"
"259","ALACHUA","FL",2014,20213,7642610,"12001"
"260","ALAMANCE","NC",2006,10834,4177597,"37001"
"261","ALAMANCE","NC",2007,13090,5045760,"37001"
"262","ALAMANCE","NC",2008,13638,5302980,"37001"
"263","ALAMANCE","NC",2009,13963,5518180,"37001"
"264","ALAMANCE","NC",2010,14503,5529390,"37001"
"265","ALAMANCE","NC",2011,15997,6057440,"37001"
"266","ALAMANCE","NC",2012,16051,6259710,"37001"
"267","ALAMANCE","NC",2013,16108,6098840,"37001"
"268","ALAMANCE","NC",2014,13944,6079040,"37001"
"269","ALAMEDA","CA",2006,58702,28554889.5,"06001"
"270","ALAMEDA","CA",2007,62863,30950133,"06001"
"271","ALAMEDA","CA",2008,64979,32446772,"06001"
"272","ALAMEDA","CA",2009,67902,35857849,"06001"
"273","ALAMEDA","CA",2010,72774,37912933,"06001"
"274","ALAMEDA","CA",2011,75372,40850962.6,"06001"
"275","ALAMEDA","CA",2012,75680,42452633,"06001"
"276","ALAMEDA","CA",2013,76037,40023030,"06001"
"277","ALAMEDA","CA",2014,67924,39623010,"06001"
"278","ALAMOSA","CO",2006,2546,966860,"08003"
"279","ALAMOSA","CO",2007,2915,1098870,"08003"
"280","ALAMOSA","CO",2008,3120,1208420,"08003"
"281","ALAMOSA","CO",2009,3246,1378550,"08003"
"282","ALAMOSA","CO",2010,3338,1381550,"08003"
"283","ALAMOSA","CO",2011,3762,1627300,"08003"
"284","ALAMOSA","CO",2012,4089,1815260,"08003"
"285","ALAMOSA","CO",2013,3895,1596770,"08003"
"286","ALAMOSA","CO",2014,3016,1292460,"08003"
"287","ALBANY","NY",2006,15693,5708150,"36001"
"288","ALBANY","NY",2007,18424,6550620,"36001"
"289","ALBANY","NY",2008,20264,7198950,"36001"
"290","ALBANY","NY",2009,20641,7998520,"36001"
"291","ALBANY","NY",2010,21543,8191200,"36001"
"292","ALBANY","NY",2011,21103,8563320,"36001"
"293","ALBANY","NY",2012,21094,8547470,"36001"
"294","ALBANY","NY",2013,23267,8343510,"36001"
"295","ALBANY","NY",2014,17929,7781810,"36001"
"296","ALBANY","WY",2006,2489,599500,"56001"
"297","ALBANY","WY",2007,2635,592810,"56001"
"298","ALBANY","WY",2008,2399,557030,"56001"
"299","ALBANY","WY",2009,2511,610170,"56001"
"300","ALBANY","WY",2010,3187,702600,"56001"
"301","ALBANY","WY",2011,3058,704600,"56001"
"302","ALBANY","WY",2012,2713,718980,"56001"
"303","ALBANY","WY",2013,2181,683500,"56001"
"304","ALBANY","WY",2014,2203,692620,"56001"
"305","ALBEMARLE","VA",2006,5017,2033730,"51003"
"306","ALBEMARLE","VA",2007,5544,2223650,"51003"
"307","ALBEMARLE","VA",2008,5865,2481080,"51003"
"308","ALBEMARLE","VA",2009,6020,2714890,"51003"
"309","ALBEMARLE","VA",2010,5916,2472100,"51003"
"310","ALBEMARLE","VA",2011,5780,2576440,"51003"
"311","ALBEMARLE","VA",2012,5947,2586240,"51003"
"312","ALBEMARLE","VA",2013,5971,2473140,"51003"
"313","ALBEMARLE","VA",2014,5688,2462350,"51003"
"314","ALCONA","MI",2006,981,235100,"26001"
"315","ALCONA","MI",2007,979,243500,"26001"
"316","ALCONA","MI",2008,1027,262440,"26001"
"317","ALCONA","MI",2009,1126,291760,"26001"
"318","ALCONA","MI",2010,1158,291230,"26001"
"319","ALCONA","MI",2011,1395,369300,"26001"
"320","ALCONA","MI",2012,1249,427200,"26001"
"321","ALCONA","MI",2013,1053,442260,"26001"
"322","ALCONA","MI",2014,863,402830,"26001"
"323","ALCORN","MS",2006,3663,2396510,"28003"
"324","ALCORN","MS",2007,4063,2608940,"28003"
"325","ALCORN","MS",2008,4200,2825610,"28003"
"326","ALCORN","MS",2009,4827,3196500,"28003"
"327","ALCORN","MS",2010,5144,3423770,"28003"
"328","ALCORN","MS",2011,5687,3920010,"28003"
"329","ALCORN","MS",2012,6238,3885460,"28003"
"330","ALCORN","MS",2013,6213,3389810,"28003"
"331","ALCORN","MS",2014,5386,3165230,"28003"
"332","ALEUTIANS EAST","AK",2006,1,300,"02013"
"333","ALEUTIANS EAST","AK",2007,1,100,"02013"
"334","ALEUTIANS WEST","AK",2006,34,26700,"02016"
"335","ALEUTIANS WEST","AK",2007,38,33500,"02016"
"336","ALEUTIANS WEST","AK",2008,39,30000,"02016"
"337","ALEUTIANS WEST","AK",2009,40,29900,"02016"
"338","ALEUTIANS WEST","AK",2010,37,26100,"02016"
"339","ALEUTIANS WEST","AK",2011,52,28900,"02016"
"340","ALEUTIANS WEST","AK",2012,35,18800,"02016"
"341","ALEUTIANS WEST","AK",2013,27,14000,"02016"
"342","ALEUTIANS WEST","AK",2014,20,10100,"02016"
"343","ALEXANDER","IL",2006,383,112900,"17003"
"344","ALEXANDER","IL",2007,310,127500,"17003"
"345","ALEXANDER","IL",2008,418,180390,"17003"
"346","ALEXANDER","IL",2009,228,117700,"17003"
"347","ALEXANDER","IL",2010,169,134100,"17003"
"348","ALEXANDER","IL",2011,193,172000,"17003"
"349","ALEXANDER","IL",2012,151,154400,"17003"
"350","ALEXANDER","IL",2013,139,130400,"17003"
"351","ALEXANDER","IL",2014,95,137700,"17003"
"352","ALEXANDER","NC",2006,3139,1104800,"37003"
"353","ALEXANDER","NC",2007,3794,1229380,"37003"
"354","ALEXANDER","NC",2008,4273,1330050,"37003"
"355","ALEXANDER","NC",2009,4291,1400830,"37003"
"356","ALEXANDER","NC",2010,4958,1571800,"37003"
"357","ALEXANDER","NC",2011,4811,1661320,"37003"
"358","ALEXANDER","NC",2012,4741,1709780,"37003"
"359","ALEXANDER","NC",2013,4659,1665420,"37003"
"360","ALEXANDER","NC",2014,4075,1703260,"37003"
"361","ALEXANDRIA CITY","VA",2006,4171,1321972,"51510"
"362","ALEXANDRIA CITY","VA",2007,4792,1536327,"51510"
"363","ALEXANDRIA CITY","VA",2008,4973,1645200,"51510"
"364","ALEXANDRIA CITY","VA",2009,5249,1825720,"51510"
"365","ALEXANDRIA CITY","VA",2010,5505,2018320,"51510"
"366","ALEXANDRIA CITY","VA",2011,5521,2103620,"51510"
"367","ALEXANDRIA CITY","VA",2012,6186,2198320,"51510"
"368","ALEXANDRIA CITY","VA",2013,7070,2228700,"51510"
"369","ALEXANDRIA CITY","VA",2014,6501,2049610,"51510"
"370","ALFALFA","OK",2006,269,54140,"40003"
"371","ALFALFA","OK",2007,266,55530,"40003"
"372","ALFALFA","OK",2008,336,73280,"40003"
"373","ALFALFA","OK",2009,385,80860,"40003"
"374","ALFALFA","OK",2010,447,93500,"40003"
"375","ALFALFA","OK",2011,576,115360,"40003"
"376","ALFALFA","OK",2012,627,135020,"40003"
"377","ALFALFA","OK",2013,539,128130,"40003"
"378","ALFALFA","OK",2014,324,114340,"40003"
"379","ALGER","MI",2006,454,321000,"26003"
"380","ALGER","MI",2007,472,325000,"26003"
"381","ALGER","MI",2008,446,318060,"26003"
"382","ALGER","MI",2009,755,333700,"26003"
"383","ALGER","MI",2010,803,378730,"26003"
"384","ALGER","MI",2011,911,407600,"26003"
"385","ALGER","MI",2012,927,402900,"26003"
"386","ALGER","MI",2013,991,386720,"26003"
"387","ALGER","MI",2014,928,454600,"26003"
"388","ALLAMAKEE","IA",2006,460,149900,"19005"
"389","ALLAMAKEE","IA",2007,553,191200,"19005"
"390","ALLAMAKEE","IA",2008,601,221700,"19005"
"391","ALLAMAKEE","IA",2009,426,251900,"19005"
"392","ALLAMAKEE","IA",2010,510,292300,"19005"
"393","ALLAMAKEE","IA",2011,637,366600,"19005"
"394","ALLAMAKEE","IA",2012,624,347500,"19005"
"395","ALLAMAKEE","IA",2013,902,363000,"19005"
"396","ALLAMAKEE","IA",2014,707,344500,"19005"
"397","ALLEGAN","MI",2006,5207,1992250,"26005"
"398","ALLEGAN","MI",2007,5942,2328700,"26005"
"399","ALLEGAN","MI",2008,6891,2488600,"26005"
"400","ALLEGAN","MI",2009,7409,2751030,"26005"
"401","ALLEGAN","MI",2010,8026,2954090,"26005"
"402","ALLEGAN","MI",2011,8861,3373590,"26005"
"403","ALLEGAN","MI",2012,8532,3610430,"26005"
"404","ALLEGAN","MI",2013,8131,3688440,"26005"
"405","ALLEGAN","MI",2014,6234,3705860,"26005"
"406","ALLEGANY","MD",2006,9329,3371670,"24001"
"407","ALLEGANY","MD",2007,10172,3634570,"24001"
"408","ALLEGANY","MD",2008,11169,3954160,"24001"
"409","ALLEGANY","MD",2009,11318,4409110,"24001"
"410","ALLEGANY","MD",2010,12180,4592010,"24001"
"411","ALLEGANY","MD",2011,12661,4964820,"24001"
"412","ALLEGANY","MD",2012,12567,4807590,"24001"
"413","ALLEGANY","MD",2013,12249,4439270,"24001"
"414","ALLEGANY","MD",2014,10758,4711610,"24001"
"415","ALLEGANY","NY",2006,3747,1477890,"36003"
"416","ALLEGANY","NY",2007,3986,1584460,"36003"
"417","ALLEGANY","NY",2008,3930,1457860,"36003"
"418","ALLEGANY","NY",2009,3787,1531500,"36003"
"419","ALLEGANY","NY",2010,4218,1653140,"36003"
"420","ALLEGANY","NY",2011,4311,1774790,"36003"
"421","ALLEGANY","NY",2012,4427,1748080,"36003"
"422","ALLEGANY","NY",2013,3908,1588400,"36003"
"423","ALLEGANY","NY",2014,3327,1585000,"36003"
"424","ALLEGHANY","NC",2006,960,354310,"37005"
"425","ALLEGHANY","NC",2007,1011,388780,"37005"
"426","ALLEGHANY","NC",2008,844,365860,"37005"
"427","ALLEGHANY","NC",2009,1019,424500,"37005"
"428","ALLEGHANY","NC",2010,1185,467850,"37005"
"429","ALLEGHANY","NC",2011,1353,536730,"37005"
"430","ALLEGHANY","NC",2012,1223,480010,"37005"
"431","ALLEGHANY","NC",2013,1315,485590,"37005"
"432","ALLEGHANY","NC",2014,1463,481760,"37005"
"433","ALLEGHANY","VA",2006,948,300820,"51005"
"434","ALLEGHANY","VA",2007,1053,357420,"51005"
"435","ALLEGHANY","VA",2008,1119,403360,"51005"
"436","ALLEGHANY","VA",2009,1263,475550,"51005"
"437","ALLEGHANY","VA",2010,1271,522240,"51005"
"438","ALLEGHANY","VA",2011,1409,610060,"51005"
"439","ALLEGHANY","VA",2012,1959,678100,"51005"
"440","ALLEGHANY","VA",2013,2124,683700,"51005"
"441","ALLEGHANY","VA",2014,1504,617400,"51005"
"442","ALLEGHENY","PA",2006,105959,40282641.5,"42003"
"443","ALLEGHENY","PA",2007,114404,45085754,"42003"
"444","ALLEGHENY","PA",2008,124045,49268961,"42003"
"445","ALLEGHENY","PA",2009,124834,51256330,"42003"
"446","ALLEGHENY","PA",2010,125937,49011512,"42003"
"447","ALLEGHENY","PA",2011,134086,52228304,"42003"
"448","ALLEGHENY","PA",2012,141464,51492420,"42003"
"449","ALLEGHENY","PA",2013,153111,49307345,"42003"
"450","ALLEGHENY","PA",2014,139101,48910420,"42003"
"451","ALLEN","IN",2006,18344,6316442,"18003"
"452","ALLEN","IN",2007,22009,7781420,"18003"
"453","ALLEN","IN",2008,24900,8868210,"18003"
"454","ALLEN","IN",2009,27724,10400413,"18003"
"455","ALLEN","IN",2010,31575,11711100,"18003"
"456","ALLEN","IN",2011,35245,13369735,"18003"
"457","ALLEN","IN",2012,39966,14166782,"18003"
"458","ALLEN","IN",2013,40124,14219185,"18003"
"459","ALLEN","IN",2014,33706,13662945,"18003"
"460","ALLEN","KS",2006,1765,547500,"20001"
"461","ALLEN","KS",2007,1966,573200,"20001"
"462","ALLEN","KS",2008,2285,660100,"20001"
"463","ALLEN","KS",2009,2569,741800,"20001"
"464","ALLEN","KS",2010,2831,792600,"20001"
"465","ALLEN","KS",2011,3338,944900,"20001"
"466","ALLEN","KS",2012,3146,990900,"20001"
"467","ALLEN","KS",2013,2823,923400,"20001"
"468","ALLEN","KS",2014,2397,863450,"20001"
"469","ALLEN","KY",2006,1374,907500,"21003"
"470","ALLEN","KY",2007,1381,1197400,"21003"
"471","ALLEN","KY",2008,1663,1380730,"21003"
"472","ALLEN","KY",2009,1544,1473300,"21003"
"473","ALLEN","KY",2010,1547,1394930,"21003"
"474","ALLEN","KY",2011,1637,1580300,"21003"
"475","ALLEN","KY",2012,1613,1538190,"21003"
"476","ALLEN","KY",2013,1640,1327390,"21003"
"477","ALLEN","KY",2014,1363,1188000,"21003"
"478","ALLEN","LA",2006,3232,1046180,"22003"
"479","ALLEN","LA",2007,3453,1121780,"22003"
"480","ALLEN","LA",2008,3852,1172140,"22003"
"481","ALLEN","LA",2009,3629,1199330,"22003"
"482","ALLEN","LA",2010,3698,1223480,"22003"
"483","ALLEN","LA",2011,4390,1438170,"22003"
"484","ALLEN","LA",2012,4627,1461800,"22003"
"485","ALLEN","LA",2013,4677,1449680,"22003"
"486","ALLEN","LA",2014,3080,1463770,"22003"
"487","ALLEN","OH",2006,6370,2294100,"39003"
"488","ALLEN","OH",2007,6622,2713810,"39003"
"489","ALLEN","OH",2008,7117,3087850,"39003"
"490","ALLEN","OH",2009,7485,3243990,"39003"
"491","ALLEN","OH",2010,8625,3673100,"39003"
"492","ALLEN","OH",2011,9406,4028370,"39003"
"493","ALLEN","OH",2012,9178,3873600,"39003"
"494","ALLEN","OH",2013,9395,3807410,"39003"
"495","ALLEN","OH",2014,7675,3690090,"39003"
"496","ALLENDALE","SC",2006,487,143890,"45005"
"497","ALLENDALE","SC",2007,533,170860,"45005"
"498","ALLENDALE","SC",2008,667,282420,"45005"
"499","ALLENDALE","SC",2009,612,242680,"45005"
"500","ALLENDALE","SC",2010,688,270840,"45005"
"501","ALLENDALE","SC",2011,902,344660,"45005"
"502","ALLENDALE","SC",2012,943,376760,"45005"
"503","ALLENDALE","SC",2013,978,370690,"45005"
"504","ALLENDALE","SC",2014,890,402910,"45005"
"505","ALPENA","MI",2006,4360,1204400,"26007"
"506","ALPENA","MI",2007,4515,1212200,"26007"
"507","ALPENA","MI",2008,4748,1308540,"26007"
"508","ALPENA","MI",2009,4847,1423020,"26007"
"509","ALPENA","MI",2010,5150,1609710,"26007"
"510","ALPENA","MI",2011,5272,1791020,"26007"
"511","ALPENA","MI",2012,4713,1908320,"26007"
"512","ALPENA","MI",2013,4731,2012090,"26007"
"513","ALPENA","MI",2014,3785,2048430,"26007"
"514","ALPINE","CA",2006,1,100,"06003"
