"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"25","Dale, AL","01045",0,562.72,"0000","0000",0,562.67,"0000","0000",0,561.29,"0000","0000",0,561.12,"0000","0000",0,561.07,"0000","0000",0,561.15,"0000","0000",0,1.6,"0000","0000",0,1.6,"0000","0000"
"26","Dallas, AL","01047",0,993.46,"0000","0000",0,993.37,"0000","0000",0,975.17,"0000","0000",0,980.8,"0000","0000",0,980.71,"0000","0000",0,978.7,"0000","0000",0,12.66,"0000","0000",0,12.66,"0000","0000"
"27","DeKalb, AL","01049",0,778.71,"0000","0000",0,778.65,"0000","0000",0,778.18,"0000","0000",0,777.98,"0000","0000",0,777.91,"0000","0000",0,777.09,"0000","0000",0,0.73,"0000","0000",0,0.74,"0000","0000"
"28","Elmore, AL","01051",0,657.26,"0000","0000",0,657.21,"0000","0000",0,622.45,"0000","0000",0,621.58,"0000","0000",0,621.26,"0000","0000",0,618.49,"0000","0000",0,35.68,"0000","0000",0,35.96,"0000","0000"
"29","Escambia, AL","01053",0,953.04,"0000","0000",0,952.95,"0000","0000",0,950.82,"0000","0000",0,947.47,"0000","0000",0,947.38,"0000","0000",0,945.08,"0000","0000",0,5.57,"0000","0000",0,5.57,"0000","0000"
"30","Etowah, AL","01055",0,548.81,"0000","0000",0,548.75,"0000","0000",0,542.32,"0000","0000",0,534.84,"0000","0000",0,534.82,"0000","0000",0,534.99,"0000","0000",0,13.97,"0000","0000",0,13.93,"0000","0000"
"31","Fayette, AL","01057",0,629.38,"0000","0000",0,629.34,"0000","0000",0,629.63,"0000","0000",0,627.81,"0000","0000",0,627.66,"0000","0000",0,627.66,"0000","0000",0,1.57,"0000","0000",0,1.68,"0000","0000"
"32","Franklin, AL","01059",0,646.55,"0000","0000",0,646.51,"0000","0000",0,642.7,"0000","0000",0,635.68,"0000","0000",0,635.64,"0000","0000",0,633.82,"0000","0000",0,10.87,"0000","0000",0,10.86,"0000","0000"
"33","Geneva, AL","01061",0,578.96,"0000","0000",0,578.9,"0000","0000",0,577.86,"0000","0000",0,576.38,"0000","0000",0,576.28,"0000","0000",0,574.41,"0000","0000",0,2.58,"0000","0000",0,2.62,"0000","0000"
"34","Greene, AL","01063",0,659.99,"0000","0000",0,659.93,"0000","0000",0,630.68,"0000","0000",0,645.96,"0000","0000",0,645.87,"0000","0000",0,647.11,"0000","0000",0,14.03,"0000","0000",0,14.07,"0000","0000"
"35","Hale, AL","01065",0,656.52,"0000","0000",0,656.47,"0000","0000",0,660.71,"0000","0000",0,643.78,"0000","0000",0,643.74,"0000","0000",0,643.94,"0000","0000",0,12.74,"0000","0000",0,12.74,"0000","0000"
"36","Henry, AL","01067",0,568.38,"0000","0000",0,568.33,"0000","0000",0,556.63,"0000","0000",0,561.96,"0000","0000",0,561.8,"0000","0000",0,561.75,"0000","0000",0,6.42,"0000","0000",0,6.53,"0000","0000"
"37","Houston, AL","01069",0,581.71,"0000","0000",0,581.65,"0000","0000",0,577.04,"0000","0000",0,580.41,"0000","0000",0,580.36,"0000","0000",0,579.82,"0000","0000",0,1.3,"0000","0000",0,1.29,"0000","0000"
"38","Jackson, AL","01071",0,1126.82,"0000","0000",0,1126.77,"0000","0000",0,1069.64,"0000","0000",0,1078.8,"0000","0000",0,1078.74,"0000","0000",0,1077.87,"0000","0000",0,48.02,"0000","0000",0,48.02,"0000","0000"
"39","Jefferson, AL","01073",0,1123.87,"0000","0000",0,1123.8,"0000","0000",0,1119.08,"0000","0000",0,1112.67,"0000","0000",0,1112.61,"0000","0000",0,1111.28,"0000","0000",0,11.2,"0000","0000",0,11.2,"0000","0000"
"40","Lamar, AL","01075",0,605.51,"0000","0000",0,605.47,"0000","0000",0,604.95,"0000","0000",0,604.89,"0000","0000",0,604.85,"0000","0000",0,604.85,"0000","0000",0,0.62,"0000","0000",0,0.62,"0000","0000"
"41","Lauderdale, AL","01077",0,718.84,"0000","0000",0,718.78,"0000","0000",0,661.4,"0000","0000",0,669.52,"0000","0000",0,669.46,"0000","0000",0,667.7,"0000","0000",0,49.32,"0000","0000",0,49.32,"0000","0000"
"42","Lawrence, AL","01079",0,718.13,"0000","0000",0,718.07,"0000","0000",0,693.37,"0000","0000",0,693.45,"0000","0000",0,693.38,"0000","0000",0,690.68,"0000","0000",0,24.68,"0000","0000",0,24.68,"0000","0000"
"43","Lee, AL","01081",0,615.61,"0000","0000",0,615.55,"0000","0000",0,609.34,"0000","0000",0,608.79,"0000","0000",0,608.71,"0000","0000",0,607.54,"0000","0000",0,6.82,"0000","0000",0,6.84,"0000","0000"
