"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"499","Miller, GA","13201",0,283.74,"0000","0000",0,283.72,"0000","0000",0,283.6,"0000","0000",0,283.07,"0000","0000",0,283.05,"0000","0000",0,282.42,"0000","0000",0,0.67,"0000","0000",0,0.68,"0000","0000"
"500","Mitchell, GA","13205",0,513.84,"0000","0000",0,513.81,"0000","0000",0,512.36,"0000","0000",0,512.02,"0000","0000",0,511.96,"0000","0000",0,512.09,"0000","0000",0,1.82,"0000","0000",0,1.85,"0000","0000"
"501","Monroe, GA","13207",0,397.83,"0000","0000",0,397.8,"0000","0000",0,396.81,"0000","0000",0,395.66,"0000","0000",0,395.63,"0000","0000",0,395.66,"0000","0000",0,2.17,"0000","0000",0,2.17,"0000","0000"
"502","Montgomery, GA","13209",0,247.34,"0000","0000",0,247.32,"0000","0000",0,244.16,"0000","0000",0,245.35,"0000","0000",0,245.33,"0000","0000",0,239.52,"0000","0000",0,1.99,"0000","0000",0,1.99,"0000","0000"
"503","Morgan, GA","13211",0,354.62,"0000","0000",0,354.6,"0000","0000",0,348.91,"0000","0000",0,349.66,"0000","0000",0,349.64,"0000","0000",0,347.35,"0000","0000",0,4.96,"0000","0000",0,4.96,"0000","0000"
"504","Murray, GA","13213",0,346.9,"0000","0000",0,346.88,"0000","0000",0,344.65,"0000","0000",0,344.44,"0000","0000",0,344.41,"0000","0000",0,344.47,"0000","0000",0,2.46,"0000","0000",0,2.47,"0000","0000"
"505","Muscogee, GA","13215",0,221.02,"0000","0000",0,221,"0000","0000",0,217.83,"0000","0000",0,216.31,"0000","0000",0,216.26,"0000","0000",0,216.39,"0000","0000",0,4.71,"0000","0000",0,4.74,"0000","0000"
"506","Newton, GA","13217",0,279.21,"0000","0000",0,279.19,"0000","0000",0,277.34,"0000","0000",0,276.45,"0000","0000",0,276.43,"0000","0000",0,272.16,"0000","0000",0,2.76,"0000","0000",0,2.76,"0000","0000"
"507","Oconee, GA","13219",0,186.15,"0000","0000",0,186.14,"0000","0000",0,186.38,"0000","0000",0,185.77,"0000","0000",0,185.7,"0000","0000",0,184.29,"0000","0000",0,0.38,"0000","0000",0,0.44,"0000","0000"
"508","Oglethorpe, GA","13221",0,442.2,"0000","0000",0,442.17,"0000","0000",0,441.63,"0000","0000",0,441.14,"0000","0000",0,441.11,"0000","0000",0,439.01,"0000","0000",0,1.06,"0000","0000",0,1.06,"0000","0000"
"509","Paulding, GA","13223",0,315.09,"0000","0000",0,315.06,"0000","0000",0,312.33,"0000","0000",0,313.56,"0000","0000",0,313.43,"0000","0000",0,312.22,"0000","0000",0,1.53,"0000","0000",0,1.63,"0000","0000"
"510","Peach, GA","13225",0,151.47,"0000","0000",0,151.46,"0000","0000",0,151.52,"0000","0000",0,151.08,"0000","0000",0,151.06,"0000","0000",0,150.27,"0000","0000",0,0.39,"0000","0000",0,0.4,"0000","0000"
"511","Pickens, GA","13227",0,232.8,"0000","0000",0,232.78,"0000","0000",0,232.11,"0000","0000",0,232.15,"0000","0000",0,232.13,"0000","0000",0,232.06,"0000","0000",0,0.65,"0000","0000",0,0.65,"0000","0000"
"512","Pierce, GA","13229",0,343.67,"0000","0000",0,343.9,"0000","0000",0,343.91,"0000","0000",0,343.03,"0000","0000",0,343.25,"0000","0000",0,316.49,"0000","0000",0,0.64,"0000","0000",0,0.65,"0000","0000"
"513","Pike, GA","13231",0,219.45,"0000","0000",0,219.43,"0000","0000",0,219.28,"0000","0000",0,218.43,"0000","0000",0,218.37,"0000","0000",0,216.09,"0000","0000",0,1.02,"0000","0000",0,1.06,"0000","0000"
"514","Polk, GA","13233",0,312.16,"0000","0000",0,312.13,"0000","0000",0,311.43,"0000","0000",0,311.17,"0000","0000",0,311.14,"0000","0000",0,310.33,"0000","0000",0,0.99,"0000","0000",0,0.99,"0000","0000"
"515","Pulaski, GA","13235",0,249.87,"0000","0000",0,249.89,"0000","0000",0,249.22,"0000","0000",0,247.4,"0000","0000",0,247.42,"0000","0000",0,249.03,"0000","0000",0,2.47,"0000","0000",0,2.47,"0000","0000"
"516","Putnam, GA","13237",0,360.66,"0000","0000",0,360.63,"0000","0000",0,343.53,"0000","0000",0,344.5,"0000","0000",0,344.53,"0000","0000",0,344.64,"0000","0000",0,16.16,"0000","0000",0,16.1,"0000","0000"
"517","Quitman, GA","13239",0,160.93,"0000","0000",0,160.92,"0000","0000",0,146,"0000","0000",0,151.55,"0000","0000",0,151.54,"0000","0000",0,151.24,"0000","0000",0,9.38,"0000","0000",0,9.38,"0000","0000"
"518","Rabun, GA","13241",0,377.01,"0000","0000",0,376.99,"0000","0000",0,370.39,"0000","0000",0,371.07,"0000","0000",0,371.05,"0000","0000",0,369.99,"0000","0000",0,5.94,"0000","0000",0,5.94,"0000","0000"
"519","Randolph, GA","13243",0,430.92,"0000","0000",0,430.89,"0000","0000",0,430.53,"0000","0000",0,429.28,"0000","0000",0,429.25,"0000","0000",0,428.24,"0000","0000",0,1.64,"0000","0000",0,1.64,"0000","0000"
"520","Richmond, GA","13245",0,328.5,"0000","0000",0,328.45,"0000","0000",0,325.92,"0000","0000",0,324.07,"0000","0000",0,324.04,"0000","0000",0,324.33,"0000","0000",0,4.43,"0000","0000",0,4.41,"0000","0000"
"521","Rockdale, GA","13247",0,132.13,"0000","0000",0,132.13,"0000","0000",0,131.95,"0000","0000",0,130.7,"0000","0000",0,130.63,"0000","0000",0,129.79,"0000","0000",0,1.43,"0000","0000",0,1.5,"0000","0000"
"522","Schley, GA","13249",0,167.83,"0000","0000",0,167.82,"0000","0000",0,168.99,"0000","0000",0,167.62,"0000","0000",0,167.61,"0000","0000",0,166.91,"0000","0000",0,0.21,"0000","0000",0,0.21,"0000","0000"
"523","Screven, GA","13251",0,655.66,"0000","0000",0,655.59,"0000","0000",0,654.75,"0000","0000",0,648.55,"0000","0000",0,648.44,"0000","0000",0,645.1,"0000","0000",0,7.11,"0000","0000",0,7.14,"0000","0000"
"524","Seminole, GA","13253",0,256.58,"0000","0000",0,256.56,"0000","0000",0,225.33,"0000","0000",0,238.05,"0000","0000",0,238.04,"0000","0000",0,235.23,"0000","0000",0,18.53,"0000","0000",0,18.52,"0000","0000"
"525","Spalding, GA","13255",0,199.61,"0000","0000",0,199.6,"0000","0000",0,199.22,"0000","0000",0,197.97,"0000","0000",0,197.95,"0000","0000",0,196.47,"0000","0000",0,1.64,"0000","0000",0,1.65,"0000","0000"
"526","Stephens, GA","13257",0,184.24,"0000","0000",0,184.23,"0000","0000",0,177.12,"0000","0000",0,179.27,"0000","0000",0,179.26,"0000","0000",0,179.13,"0000","0000",0,4.97,"0000","0000",0,4.97,"0000","0000"
"527","Stewart, GA","13259",0,463.26,"0000","0000",0,463.23,"0000","0000",0,452.25,"0000","0000",0,458.74,"0000","0000",0,458.7,"0000","0000",0,458.73,"0000","0000",0,4.52,"0000","0000",0,4.53,"0000","0000"
"528","Sumter, GA","13261",0,492.58,"0000","0000",0,492.54,"0000","0000",0,488.54,"0000","0000",0,485.32,"0000","0000",0,485.28,"0000","0000",0,482.7,"0000","0000",0,7.26,"0000","0000",0,7.26,"0000","0000"
"529","Talbot, GA","13263",0,394.77,"0000","0000",0,394.74,"0000","0000",0,394.53,"0000","0000",0,393.24,"0000","0000",0,393.21,"0000","0000",0,391.39,"0000","0000",0,1.53,"0000","0000",0,1.52,"0000","0000"
"530","Taliaferro, GA","13265",0,195.48,"0000","0000",0,195.47,"0000","0000",0,195.85,"0000","0000",0,195.4,"0000","0000",0,195.39,"0000","0000",0,194.61,"0000","0000",0,0.08,"0000","0000",0,0.08,"0000","0000"
"531","Tattnall, GA","13267",0,488.27,"0000","0000",0,488.22,"0000","0000",0,483.87,"0000","0000",0,483.75,"0000","0000",0,483.69,"0000","0000",0,479.4,"0000","0000",0,4.52,"0000","0000",0,4.53,"0000","0000"
"532","Taylor, GA","13269",0,379.65,"0000","0000",0,379.61,"0000","0000",0,381.65,"0000","0000",0,377.48,"0000","0000",0,377.44,"0000","0000",0,376.69,"0000","0000",0,2.17,"0000","0000",0,2.17,"0000","0000"
"533","Telfair, GA","13271",0,444.12,"0000","0000",0,444.08,"0000","0000",0,443.9,"0000","0000",0,441.17,"0000","0000",0,441.09,"0000","0000",0,437.3,"0000","0000",0,2.95,"0000","0000",0,2.99,"0000","0000"
"534","Terrell, GA","13273",0,337.65,"0000","0000",0,337.63,"0000","0000",0,336.98,"0000","0000",0,335.48,"0000","0000",0,335.37,"0000","0000",0,335.44,"0000","0000",0,2.17,"0000","0000",0,2.26,"0000","0000"
"535","Thomas, GA","13275",0,552.13,"0000","0000",0,552.08,"0000","0000",0,550.58,"0000","0000",0,548.44,"0000","0000",0,548.3,"0000","0000",0,544.6,"0000","0000",0,3.69,"0000","0000",0,3.78,"0000","0000"
"536","Tift, GA","13277",0,268.88,"0000","0000",0,268.86,"0000","0000",0,268.44,"0000","0000",0,265.14,"0000","0000",0,265.05,"0000","0000",0,258.92,"0000","0000",0,3.74,"0000","0000",0,3.81,"0000","0000"
"537","Toombs, GA","13279",0,368.67,"0000","0000",0,368.64,"0000","0000",0,371.04,"0000","0000",0,366.73,"0000","0000",0,366.65,"0000","0000",0,364.01,"0000","0000",0,1.94,"0000","0000",0,1.99,"0000","0000"
"538","Towns, GA","13281",0,171.87,"0000","0000",0,172.01,"0000","0000",0,164.87,"0000","0000",0,166.52,"0000","0000",0,166.66,"0000","0000",0,166.56,"0000","0000",0,5.35,"0000","0000",0,5.35,"0000","0000"
"539","Treutlen, GA","13283",0,202.22,"0000","0000",0,202.19,"0000","0000",0,202.06,"0000","0000",0,200.73,"0000","0000",0,200.66,"0000","0000",0,199.44,"0000","0000",0,1.49,"0000","0000",0,1.53,"0000","0000"
"540","Troup, GA","13285",0,445.99,"0000","0000",0,445.96,"0000","0000",0,414.48,"0000","0000",0,413.95,"0000","0000",0,413.9,"0000","0000",0,413.99,"0000","0000",0,32.04,"0000","0000",0,32.06,"0000","0000"
"541","Turner, GA","13287",0,289.87,"0000","0000",0,289.85,"0000","0000",0,289.05,"0000","0000",0,286.08,"0000","0000",0,286.03,"0000","0000",0,285.39,"0000","0000",0,3.79,"0000","0000",0,3.83,"0000","0000"
"542","Twiggs, GA","13289",0,362.92,"0000","0000",0,362.95,"0000","0000",0,361.66,"0000","0000",0,360.37,"0000","0000",0,360.29,"0000","0000",0,358.4,"0000","0000",0,2.55,"0000","0000",0,2.66,"0000","0000"
"543","Union, GA","13291",0,329.19,"0000","0000",0,329.02,"0000","0000",0,319.9,"0000","0000",0,322.71,"0000","0000",0,322.55,"0000","0000",0,321.93,"0000","0000",0,6.48,"0000","0000",0,6.47,"0000","0000"
"544","Upson, GA","13293",0,327.67,"0000","0000",0,327.64,"0000","0000",0,325.69,"0000","0000",0,325.53,"0000","0000",0,325.48,"0000","0000",0,323.44,"0000","0000",0,2.14,"0000","0000",0,2.15,"0000","0000"
"545","Walker, GA","13295",0,446.74,"0000","0000",0,447.03,"0000","0000",0,445.97,"0000","0000",0,446.29,"0000","0000",0,446.58,"0000","0000",0,446.38,"0000","0000",0,0.45,"0000","0000",0,0.45,"0000","0000"
"546","Walton, GA","13297",0,330.07,"0000","0000",0,330.05,"0000","0000",0,330.2,"0000","0000",0,329.26,"0000","0000",0,329.18,"0000","0000",0,325.68,"0000","0000",0,0.81,"0000","0000",0,0.87,"0000","0000"
"547","Ware, GA","13299",0,906.62,"0000","0000",0,906.31,"0000","0000",0,907.12,"0000","0000",0,902.6,"0000","0000",0,902.29,"0000","0000",0,892.46,"0000","0000",0,4.02,"0000","0000",0,4.02,"0000","0000"
"548","Warren, GA","13301",0,286.76,"0000","0000",0,286.74,"0000","0000",0,285.52,"0000","0000",0,285.54,"0000","0000",0,285.52,"0000","0000",0,284.3,"0000","0000",0,1.22,"0000","0000",0,1.22,"0000","0000"
"549","Washington, GA","13303",0,684.43,"0000","0000",0,684.37,"0000","0000",0,683.51,"0000","0000",0,680.47,"0000","0000",0,680.34,"0000","0000",0,678.45,"0000","0000",0,3.96,"0000","0000",0,4.03,"0000","0000"
"550","Wayne, GA","13305",0,648.85,"0000","0000",0,648.8,"0000","0000",0,646.89,"0000","0000",0,644.74,"0000","0000",0,644.66,"0000","0000",0,641.78,"0000","0000",0,4.11,"0000","0000",0,4.13,"0000","0000"
"551","Webster, GA","13307",0,210.27,"0000","0000",0,210.26,"0000","0000",0,209.87,"0000","0000",0,209.55,"0000","0000",0,209.54,"0000","0000",0,209.12,"0000","0000",0,0.72,"0000","0000",0,0.72,"0000","0000"
"552","Wheeler, GA","13309",0,300.16,"0000","0000",0,300.14,"0000","0000",0,299.08,"0000","0000",0,297.74,"0000","0000",0,297.72,"0000","0000",0,295.48,"0000","0000",0,2.42,"0000","0000",0,2.42,"0000","0000"
"553","White, GA","13311",0,242.18,"0000","0000",0,242.16,"0000","0000",0,242.04,"0000","0000",0,241.62,"0000","0000",0,241.58,"0000","0000",0,240.69,"0000","0000",0,0.56,"0000","0000",0,0.58,"0000","0000"
"554","Whitfield, GA","13313",0,290.68,"0000","0000",0,290.65,"0000","0000",0,290.82,"0000","0000",0,290.02,"0000","0000",0,289.99,"0000","0000",0,290.46,"0000","0000",0,0.66,"0000","0000",0,0.66,"0000","0000"
"555","Wilcox, GA","13315",0,383.32,"0000","0000",0,383.3,"0000","0000",0,381.94,"0000","0000",0,380.38,"0000","0000",0,380.3,"0000","0000",0,377.71,"0000","0000",0,2.94,"0000","0000",0,3,"0000","0000"
"556","Wilkes, GA","13317",0,474.03,"0000","0000",0,474,"0000","0000",0,470.11,"0000","0000",0,471.41,"0000","0000",0,471.37,"0000","0000",0,469.49,"0000","0000",0,2.62,"0000","0000",0,2.62,"0000","0000"
"557","Wilkinson, GA","13319",0,452.03,"0000","0000",0,452.01,"0000","0000",0,451.48,"0000","0000",0,446.59,"0000","0000",0,446.56,"0000","0000",0,447.31,"0000","0000",0,5.44,"0000","0000",0,5.45,"0000","0000"
"558","Worth, GA","13321",0,574.61,"0000","0000",0,574.58,"0000","0000",0,575.04,"0000","0000",0,569.82,"0000","0000",0,569.73,"0000","0000",0,570.7,"0000","0000",0,4.79,"0000","0000",0,4.86,"0000","0000"
"559","HAWAII","15000",0,10931.58,"0000","0000",0,10930.98,"0000","0000",0,6425.23,"0000","0000",0,6423.34,"0000","0000",0,6422.62,"0000","0000",0,6422.63,"0000","0000",0,4508.24,"0000","0000",0,4508.36,"0000","0000"
"560","Hawaii, HI","15001",0,5086.97,"0000","0000",0,5086.7,"0000","0000",0,4034.19,"0000","0000",0,4028.23,"0000","0000",0,4028.02,"0000","0000",0,4028.42,"0000","0000",0,1058.74,"0000","0000",0,1058.69,"0000","0000"
"561","Honolulu, HI","15003",0,2126.98,"0000","0000",0,2126.85,"0000","0000",0,596.32,"0000","0000",0,600.18,"0000","0000",0,599.77,"0000","0000",0,600.74,"0000","0000",0,1526.8,"0000","0000",0,1527.08,"0000","0000"
"562","Kalawao, HI","15005",0,52.33,"0000","0000",0,52.33,"0000","0000",0,13.32,"0000","0000",0,13.21,"0000","0000",0,13.21,"0000","0000",0,11.99,"0000","0000",0,39.12,"0000","0000",0,39.12,"0000","0000"
"563","Kauai, HI","15007",0,1266.45,"0000","0000",0,1266.37,"0000","0000",0,619.8,"0000","0000",0,622.48,"0000","0000",0,622.44,"0000","0000",0,619.96,"0000","0000",0,643.97,"0000","0000",0,643.93,"0000","0000"
"564","Maui, HI","15009",0,2398.87,"0000","0000",0,2398.74,"0000","0000",0,1161.6,"0000","0000",0,1159.26,"0000","0000",0,1159.2,"0000","0000",0,1161.52,"0000","0000",0,1239.61,"0000","0000",0,1239.54,"0000","0000"
"565","IDAHO","16000",0,83573.77,"0000","0000",0,83570.08,"0000","0000",0,82411.91,"0000","0000",0,82750.93,"0000","0000",0,82747.21,"0000","0000",0,82643.12,"0000","0000",0,822.84,"0000","0000",0,822.87,"0000","0000"
"566","Ada, ID","16001",0,1060.38,"0000","0000",0,1060.33,"0000","0000",0,1051.6,"0000","0000",0,1055.04,"0000","0000",0,1054.99,"0000","0000",0,1052.58,"0000","0000",0,5.34,"0000","0000",0,5.34,"0000","0000"
"567","Adams, ID","16003",0,1370.11,"0000","0000",0,1370,"0000","0000",0,1361.86,"0000","0000",0,1364.69,"0000","0000",0,1364.58,"0000","0000",0,1363.06,"0000","0000",0,5.42,"0000","0000",0,5.43,"0000","0000"
"568","Bannock, ID","16005",0,1147.5,"0000","0000",0,1147.46,"0000","0000",0,1111.85,"0000","0000",0,1113.22,"0000","0000",0,1113.3,"0000","0000",0,1111.99,"0000","0000",0,34.28,"0000","0000",0,34.16,"0000","0000"
"569","Bear Lake, ID","16007",0,1049.49,"0000","0000",0,1049.44,"0000","0000",0,990.34,"0000","0000",0,971.43,"0000","0000",0,971.38,"0000","0000",0,974.79,"0000","0000",0,78.06,"0000","0000",0,78.05,"0000","0000"
"570","Benewah, ID","16009",0,784.01,"0000","0000",0,783.98,"0000","0000",0,783.87,"0000","0000",0,776.03,"0000","0000",0,776.07,"0000","0000",0,776.62,"0000","0000",0,7.98,"0000","0000",0,7.91,"0000","0000"
"571","Bingham, ID","16011",0,2120.34,"0000","0000",0,2120.24,"0000","0000",0,2095.6,"0000","0000",0,2094.84,"0000","0000",0,2094.73,"0000","0000",0,2093.98,"0000","0000",0,25.5,"0000","0000",0,25.51,"0000","0000"
"572","Blaine, ID","16013",0,2661.14,"0000","0000",0,2661.02,"0000","0000",0,2634.37,"0000","0000",0,2644.9,"0000","0000",0,2644.78,"0000","0000",0,2643.59,"0000","0000",0,16.24,"0000","0000",0,16.24,"0000","0000"
"573","Boise, ID","16015",0,1906.81,"0000","0000",0,1906.76,"0000","0000",0,1900.62,"0000","0000",0,1902.51,"0000","0000",0,1902.46,"0000","0000",0,1899.24,"0000","0000",0,4.3,"0000","0000",0,4.3,"0000","0000"
"574","Bonner, ID","16017",0,1919.62,"0000","0000",0,1919.59,"0000","0000",0,1726.44,"0000","0000",0,1737.62,"0000","0000",0,1737.67,"0000","0000",0,1734.57,"0000","0000",0,182,"0000","0000",0,181.92,"0000","0000"
"575","Bonneville, ID","16019",0,1900.74,"0000","0000",0,1900.65,"0000","0000",0,1839.61,"0000","0000",0,1868.59,"0000","0000",0,1868.48,"0000","0000",0,1866.08,"0000","0000",0,32.15,"0000","0000",0,32.18,"0000","0000"
"576","Boundary, ID","16021",0,1278.2,"0000","0000",0,1278.21,"0000","0000",0,1268.05,"0000","0000",0,1268.8,"0000","0000",0,1268.81,"0000","0000",0,1268.56,"0000","0000",0,9.4,"0000","0000",0,9.4,"0000","0000"
"577","Butte, ID","16023",0,2233.66,"0000","0000",0,2233.59,"0000","0000",0,2236.44,"0000","0000",0,2232.92,"0000","0000",0,2232.85,"0000","0000",0,2231.67,"0000","0000",0,0.74,"0000","0000",0,0.74,"0000","0000"
"578","Camas, ID","16025",0,1079.06,"0000","0000",0,1079.02,"0000","0000",0,1071.06,"0000","0000",0,1075,"0000","0000",0,1074.96,"0000","0000",0,1074.49,"0000","0000",0,4.06,"0000","0000",0,4.06,"0000","0000"
"579","Canyon, ID","16027",0,603.52,"0000","0000",0,603.51,"0000","0000",0,583.85,"0000","0000",0,589.76,"0000","0000",0,589.72,"0000","0000",0,587.37,"0000","0000",0,13.76,"0000","0000",0,13.79,"0000","0000"
"580","Caribou, ID","16029",0,1798.73,"0000","0000",0,1798.62,"0000","0000",0,1762.75,"0000","0000",0,1766.12,"0000","0000",0,1766.01,"0000","0000",0,1764.15,"0000","0000",0,32.61,"0000","0000",0,32.61,"0000","0000"
"581","Cassia, ID","16031",0,2580.45,"0000","0000",0,2580.31,"0000","0000",0,2560.31,"0000","0000",0,2566.59,"0000","0000",0,2566.45,"0000","0000",0,2565.08,"0000","0000",0,13.86,"0000","0000",0,13.86,"0000","0000"
"582","Clark, ID","16033",0,1765.28,"0000","0000",0,1765.21,"0000","0000",0,1763.26,"0000","0000",0,1764.7,"0000","0000",0,1764.63,"0000","0000",0,1764.19,"0000","0000",0,0.58,"0000","0000",0,0.58,"0000","0000"
"583","Clearwater, ID","16035",0,2488.26,"0000","0000",0,2488.1,"0000","0000",0,2236.36,"0000","0000",0,2461.56,"0000","0000",0,2461.4,"0000","0000",0,2457.27,"0000","0000",0,26.7,"0000","0000",0,26.7,"0000","0000"
"584","Custer, ID","16037",0,4936.92,"0000","0000",0,4936.79,"0000","0000",0,4927.42,"0000","0000",0,4925.6,"0000","0000",0,4925.45,"0000","0000",0,4920.94,"0000","0000",0,11.32,"0000","0000",0,11.34,"0000","0000"
"585","Elmore, ID","16039",0,3100.69,"0000","0000",0,3100.51,"0000","0000",0,3071.33,"0000","0000",0,3077.77,"0000","0000",0,3077.57,"0000","0000",0,3074.74,"0000","0000",0,22.92,"0000","0000",0,22.93,"0000","0000"
"586","Franklin, ID","16041",0,668.4,"0000","0000",0,668.36,"0000","0000",0,663.53,"0000","0000",0,665.48,"0000","0000",0,665.43,"0000","0000",0,663.65,"0000","0000",0,2.92,"0000","0000",0,2.92,"0000","0000"
"587","Fremont, ID","16043",0,1895.67,"0000","0000",0,1895.59,"0000","0000",0,1851.58,"0000","0000",0,1866.83,"0000","0000",0,1866.76,"0000","0000",0,1863.53,"0000","0000",0,28.84,"0000","0000",0,28.84,"0000","0000"
"588","Gem, ID","16045",0,565.77,"0000","0000",0,565.75,"0000","0000",0,558.11,"0000","0000",0,562.6,"0000","0000",0,562.58,"0000","0000",0,560.9,"0000","0000",0,3.17,"0000","0000",0,3.17,"0000","0000"
"589","Gooding, ID","16047",0,733.89,"0000","0000",0,733.84,"0000","0000",0,728.28,"0000","0000",0,730.85,"0000","0000",0,730.78,"0000","0000",0,728.97,"0000","0000",0,3.04,"0000","0000",0,3.06,"0000","0000"
"590","Idaho, ID","16049",0,8502.78,"0000","0000",0,8502.48,"0000","0000",0,8497.43,"0000","0000",0,8485.19,"0000","0000",0,8484.88,"0000","0000",0,8477.35,"0000","0000",0,17.59,"0000","0000",0,17.59,"0000","0000"
"591","Jefferson, ID","16051",0,1105.62,"0000","0000",0,1105.55,"0000","0000",0,1092.67,"0000","0000",0,1095.14,"0000","0000",0,1095.08,"0000","0000",0,1093.5,"0000","0000",0,10.48,"0000","0000",0,10.47,"0000","0000"
"592","Jerome, ID","16053",0,601.91,"0000","0000",0,601.87,"0000","0000",0,600.9,"0000","0000",0,599.88,"0000","0000",0,599.84,"0000","0000",0,597.19,"0000","0000",0,2.03,"0000","0000",0,2.03,"0000","0000"
"593","Kootenai, ID","16055",0,1315.77,"0000","0000",0,1315.69,"0000","0000",0,1239.89,"0000","0000",0,1245.2,"0000","0000",0,1245.12,"0000","0000",0,1244.13,"0000","0000",0,70.57,"0000","0000",0,70.57,"0000","0000"
"594","Latah, ID","16057",0,1076.94,"0000","0000",0,1076.89,"0000","0000",0,1076.87,"0000","0000",0,1076.7,"0000","0000",0,1076.65,"0000","0000",0,1076,"0000","0000",0,0.24,"0000","0000",0,0.24,"0000","0000"
"595","Lemhi, ID","16059",0,4569.68,"0000","0000",0,4569.5,"0000","0000",0,4563.93,"0000","0000",0,4564.33,"0000","0000",0,4564.16,"0000","0000",0,4563.39,"0000","0000",0,5.35,"0000","0000",0,5.35,"0000","0000"
"596","Lewis, ID","16061",0,479.83,"0000","0000",0,479.81,"0000","0000",0,477.54,"0000","0000",0,479.06,"0000","0000",0,479.04,"0000","0000",0,478.8,"0000","0000",0,0.77,"0000","0000",0,0.77,"0000","0000"
"597","Lincoln, ID","16063",0,1205.92,"0000","0000",0,1205.86,"0000","0000",0,1205.46,"0000","0000",0,1205.59,"0000","0000",0,1205.53,"0000","0000",0,1201.41,"0000","0000",0,0.33,"0000","0000",0,0.33,"0000","0000"
"598","Madison, ID","16065",0,473.39,"0000","0000",0,473.36,"0000","0000",0,468.46,"0000","0000",0,471.55,"0000","0000",0,471.52,"0000","0000",0,469.21,"0000","0000",0,1.84,"0000","0000",0,1.84,"0000","0000"
"599","Minidoka, ID","16067",0,763.03,"0000","0000",0,762.98,"0000","0000",0,757.49,"0000","0000",0,759.67,"0000","0000",0,759.62,"0000","0000",0,757.59,"0000","0000",0,3.36,"0000","0000",0,3.36,"0000","0000"
"600","Nez Perce, ID","16069",0,856.4,"0000","0000",0,856.36,"0000","0000",0,844.61,"0000","0000",0,849.12,"0000","0000",0,849.08,"0000","0000",0,848.09,"0000","0000",0,7.28,"0000","0000",0,7.28,"0000","0000"
"601","Oneida, ID","16071",0,1201.69,"0000","0000",0,1201.61,"0000","0000",0,1200.3,"0000","0000",0,1200.41,"0000","0000",0,1200.33,"0000","0000",0,1200.06,"0000","0000",0,1.28,"0000","0000",0,1.28,"0000","0000"
"602","Owyhee, ID","16073",0,7697.11,"0000","0000",0,7696.71,"0000","0000",0,7643.33,"0000","0000",0,7678.4,"0000","0000",0,7677.98,"0000","0000",0,7665.51,"0000","0000",0,18.71,"0000","0000",0,18.72,"0000","0000"
"603","Payette, ID","16075",0,410.19,"0000","0000",0,410.19,"0000","0000",0,404.89,"0000","0000",0,407.52,"0000","0000",0,407.52,"0000","0000",0,406.87,"0000","0000",0,2.67,"0000","0000",0,2.67,"0000","0000"
"604","Power, ID","16077",0,1442.69,"0000","0000",0,1442.6,"0000","0000",0,1402.5,"0000","0000",0,1405.66,"0000","0000",0,1405.57,"0000","0000",0,1404.24,"0000","0000",0,37.03,"0000","0000",0,37.03,"0000","0000"
"605","Shoshone, ID","16079",0,2635.6,"0000","0000",0,2635.5,"0000","0000",0,2640.54,"0000","0000",0,2634.01,"0000","0000",0,2633.91,"0000","0000",0,2629.67,"0000","0000",0,1.59,"0000","0000",0,1.59,"0000","0000"
"606","Teton, ID","16081",0,450.6,"0000","0000",0,450.57,"0000","0000",0,447.9,"0000","0000",0,450.39,"0000","0000",0,450.36,"0000","0000",0,449.46,"0000","0000",0,0.21,"0000","0000",0,0.21,"0000","0000"
"607","Twin Falls, ID","16083",0,1928.57,"0000","0000",0,1928.47,"0000","0000",0,1944.07,"0000","0000",0,1925.13,"0000","0000",0,1925.03,"0000","0000",0,1921.21,"0000","0000",0,3.44,"0000","0000",0,3.44,"0000","0000"
"608","Valley, ID","16085",0,3733.85,"0000","0000",0,3733.66,"0000","0000",0,3670.29,"0000","0000",0,3678.2,"0000","0000",0,3677.82,"0000","0000",0,3664.52,"0000","0000",0,55.65,"0000","0000",0,55.84,"0000","0000"
"609","Washington, ID","16087",0,1473.6,"0000","0000",0,1473.54,"0000","0000",0,1454.35,"0000","0000",0,1456.37,"0000","0000",0,1456.32,"0000","0000",0,1452.98,"0000","0000",0,17.23,"0000","0000",0,17.23,"0000","0000"
"610","ILLINOIS","17000",0,57917.84,"0000","0000",0,57914.38,"0000","0000",0,55644.69,"0000","0000",0,55593.29,"0000","0000",0,55583.58,"0000","0000",0,55518.93,"0000","0000",0,2324.55,"0000","0000",0,2330.79,"0000","0000"
"611","Adams, IL","17001",0,871.32,"0000","0000",0,871.28,"0000","0000",0,851.85,"0000","0000",0,856.7,"0000","0000",0,856.63,"0000","0000",0,855.2,"0000","0000",0,14.62,"0000","0000",0,14.64,"0000","0000"
"612","Alexander, IL","17003",0,252.55,"0000","0000",0,252.54,"0000","0000",0,236.11,"0000","0000",0,236.4,"0000","0000",0,236.38,"0000","0000",0,235.51,"0000","0000",0,16.15,"0000","0000",0,16.16,"0000","0000"
